Index,Word,Definition,Comfort,Synonyms,Example
45,Restive,Restless,0.75,"edgy, high-strung, highly strung, in suspense, jittery, jumpy, nervy, overstrung, uptight",
46,Acrimony,Bitterness and Ill will,0.75,"bitterness, acerbity, jaundice, tartness, thorniness",
47,Harangue,A long pompous speech; A tirade,3.0,"Tirade, diatribe",
48,Upbraid,To scold; Reproach,0.5,"Chastise, punish",
49,Undermine,To weaken,2.25,"cave, sabotage, countermine, counteract, subvert, weaken",
50,Gregarious,To be likely to socialize with others,0.5,affable,
51,Amenable,Easily convinced; Easily persuaded,1.75,"conformable, responsive, tractable",
52,Extant,Still in existence (usually referred to documents),1.25,Surviving,
53,Enervated,To sap energy from; Making someone feel drained of vitality,1.75,"adynamic, asthenic, debilitated",
54,Censure,Show strong disapproval,0.75,"animadversion, excommunication, exclusion, reprimand, criminate",
55,impertinent,Being disrespectful; Improperly bold or forward,7.0,"mpudent, overbold, sassy, extraneous",
56,Veracious,Truthful; Honest,0.75,honest,
57,Profligate,Spending resources recklessly or wastefully,0.5,"promiscuous, extravagant",
58,Equivocal,Confusing or ambiguous,2.25,ambiguous,
59,Involved,"Complicated, and difficult to comprehend",0.25,"mired, Byzantine, convoluted, knotty, tangled, tortuous",
60,Mercurial,(of a person) prone to unexpected and unpredictable changes in the mood; of or containing the element mercury; Of planet Mercury,0.0,"erratic, fickle, quicksilver",
61,Auspicious,"Favourite, opposite of sinister",1.75,"felicitous, opportune, promising, propitious",
62,Galvanize,To excite or inspire (someone) to action,3.0,"galvanise, startle",
63,Iconoclast,Someone who attacks cheristed beliefs and instituites.,2.0,image breaker,
64,Ingenuous,To be naive and innocent,-0.75,"artless, innocent",
65,Calumny,Making of false statement meant to injure someone's reputation.,0.0,"aspersion, slander, defamation, denigration, calumniation, obloquy, traducement, hatchet job",
66,Prodigal,Spending money or using resources freely and recklessly; wastefully extravagant.,1.0,"profligate, squanderer, lavish, munificent, overgenerous, too-generous, unsparing, unstinted, unstinting, extravagant, spendthrift",
67,Parsimonious,Extremely frugal; Miserly,1.25,penurious,
68,Venality,Condition of being suspectible to bribes or corruption.,2.75,dishonesty; sordidness,
69,Egregious,Standing out in a bad way; Shockingly bad,1.25,atrocious; deplorable; heinous; nefarious,
70,Venerate,To respect deeply,0.5,reverence,
71,Demur,To object or show resistance or reluctance,3.5,vacillate,
72,Prevaricate,To speak in an evasive way (like politicians),1.0,"beat around the bush, equivocate, tergiversate, palter",
73,imperil,"Put at risk of being harmed, injured, or destroyed (sounds like in peril)",2.0,"endanger, jeopardize, jeopardise, menace, threaten, peril",
74,Maintain,To assert,1.5,"defend, observe, keep, uphold, assert, asseverate, sustain, wield, exert, conserve, preserve, keep up, hold",
75,Castigate,To reprimand harshly,0.75,"chastise, objurgate, chasten, correct",
76,Amalgam,Mixture of multiple things,1.0,admixture; alloy,
77,Disinterested,Neutral; Unbiased,0.25,"aloof, impartial, unselfish, casual",
78,Vindicate,"to clear of accusation, blame, suspicion, or doubt with supporting arguments or proof",0.75,"acquit, absolve, refute",
79,Qualify,To make less severe; To limit (a statement),0.25,"abate, dimish, attenuate",
80,Laconic,"(describes a person, speech, or style of writing) using very few words; Brief and concise",0.0,"crisp, curt, terse",
81,Aboveboard,open and honest .,-0.75,,
82,Abysmal,extremely bad .,-0.25,,
83,Acme,the highest point of achievement .,0.25,,
84,Advocate,speak,0.0,,
85,Advocate,a person who pleads for a cause or propounds an idea .,0.0,,
86,Affable,likeable; easy to talk to .,0.25,,
87,Affluent,wealthy .,0.75,,
88,Altruism,the quality of unselfish concern for the welfare of others .,0.0,,
89,Amiable,friendly .,0.0,,
90,Amply,more than is adequate .,0.0,,
91,Amuck,in a frenzied or uncontrolled state .,0.0,,
92,Analogous,similar in some respects but otherwise different .,0.25,,
93,Animosity,intense hostility .,0.25,,
94,Antedated,precede in time .,-1.0,,
95,Antiquated,old-fashioned; belonging to an earlier period in time .,0.25,,
96,Apex,the highest point .,0.0,,
97,Aphorism,a short instructive saying about a general truth .,-0.25,,
98,Aphoristic,something that is a concise and instructive of a general truth or principle .,0.25,,
99,Appreciable,large enough to be noticed (usu. refers to an amount) .,0.0,,
100,Apprehension,fearful expectation .,0.0,,
101,Archaic,so old as to appear to belong to a different period .,0.0,,
102,Ascendancy,the state that exists when one person or group has power over another .,0.5,,
103,Ascribe,attribute or credit to .,0.0,,
104,Assail,attack in speech or writing .,0.25,,
105,Assuage,make something intense less severe .,0.0,,
106,Augment,enlarge or increase; improve .,0.0,,
107,Autonomously,.,0.25,,
108,Avarice,greed (one of the seven deadly sins) .,0.25,,
109,Avert,turn away .,0.5,,
110,Avert,ward off or prevent .,0.25,,
111,Avid,marked by active interest and enthusiasm .,0.25,,
112,Badger,to pester .,0.25,,
113,Balk,refuse to comply .,0.0,,
114,Banish,expel from a community,0.0,,
115,Beatific,blissfully happy .,0.0,,
116,Becoming,appropriate,0.0,,
117,Begrudge,to envy someone for possessing or enjoying something .,0.0,,
118,Begrudge,to give reluctantly .,0.0,,
119,Behooves,to be one's duty or obligation .,0.5,,
120,Belittle,lessen the importance,0.0,,
121,Bellicose,warlike; inclined to quarrel .,0.5,,
122,Benign,kind .,0.75,,
123,Benign,(medicine) not dangerous to health; not recurrent or progressive .,0.0,,
124,Besiege,harass,0.25,,
125,Besmirch,damage the good name and reputation of someone .,0.0,,
126,Bleak,having a depressing or gloomy outlook .,0.0,,
127,Boon,a desirable state .,0.25,,
128,Boon,very close and convivial .,0.0,,
129,Boorish,ill-mannered and coarse or contemptible in behavior or appearance .,0.0,,
130,Brusquely,in a blunt,0.0,,
131,Buck,resist .,-0.5,,
132,Buttress,make stronger or defensible .,0.0,,
133,Cadaverous,emaciated; gaunt .,-0.25,,
134,Candid,a straightforward and honest look at something .,0.25,,
135,Candidness,the quality of being honest and straightforward in attitude and speech .,0.0,,
136,Cardinal,of primary importance; fundamental .,0.25,,
137,Carping,persistently petty and unjustified criticism .,0.5,,
138,Catalyst,something that speeds up an event .,0.25,,
139,Cavalier,given to haughty disregard of others .,0.0,,
140,Censor,to examine and remove objectionable material .,-1.0,,
141,Cerebral,involving intelligence rather than emotions or instinct .,0.5,,
142,Champion,protect or fight for as a champion .,0.25,,
143,Chauvinist,a person who believes in the superiority of their group .,0.5,,
144,Check,to limit (usually modifying the growth of something) .,-0.5,,
145,Check,the condition of being held back or limited .,0.0,,
146,Checkered,one that is marked by disreputable happenings .,0.0,,
147,Chivalrous,being attentive to women like an ideal knight .,0.0,,
148,Clemency,leniency and compassion shown toward offenders by a person or agency charged with administering justice .,0.25,,
149,Coalesce,fuse or cause to grow together .,0.25,,
150,Cogent,clear and persuasive .,0.0,,
151,Cohesive,well integrated,0.75,,
152,Collusion,agreement on a secret plot .,0.5,,
153,Colossal,so great in size or force or extent as to elicit awe .,0.75,,
154,Commendable,worthy of high praise .,0.25,,
155,Complacent,contented to a fault with oneself or one's actions .,0.25,,
156,Complementary,enhancing each other's qualities (for two things or more). .,0.25,,
157,Compound,make more intense,0.0,,
158,Conducive,making a situation or outcome more likely to happen .,-0.25,,
159,Conniving,taking part in immoral and unethical plots .,0.5,,
160,Consecrate,to make holy or set apart for a high purpose .,0.25,,
161,Constraint,something that limits or restricts .,0.5,,
162,Consummate,having or revealing supreme mastery or skill .,0.25,,
163,Consummate,to make perfect and complete in every respect .,0.25,,
164,Contemptuous,scornful,0.75,,
165,Contrite,to be remorseful .,0.0,,
166,Conundrum,a difficult problem .,0.25,,
167,Convivial,describing a lively atmosphere .,0.0,,
168,Convoluted,highly complex or intricate .,0.5,,
169,Cornucopia,an abundant supply of something good .,0.0,,
170,Corroborate,to confirm or lend support to (usually an idea or claim) .,0.5,,
171,Cosmopolitan,comprising many cultures; global in reach and outlook .,0.25,,
172,Credence,belief in something .,0.0,,
173,Creditable,deserving of praise but not that amazing .,-0.25,,
174,Credulity,tendency to believe readily .,0.75,,
175,Cumbersome,difficult to handle or use especially because of size or weight .,0.0,,
176,Dearth,a lack or shortage .,0.5,,
177,Debase,reduce the quality or value of something .,0.0,,
178,Debunk,expose as false ideas and claims,0.25,,
179,Decimation,destroying or killing a large part of the population .,0.25,,
180,Degrade,reduce in worth or character,0.25,,
181,Delegate,give an assignment to (a person) .,0.0,,
182,Deliberate,think about carefully; weigh the pros and cons of an issue .,0.0,,
183,Demean,to insult; to cause someone to lose dignity or respect .,0.0,,
184,Demure,to be modest and shy .,0.25,,
185,Deride,treat or speak of with contempt .,0.0,,
186,Derisive,abusing vocally; expressing contempt or ridicule .,0.0,,
187,Derogative,expressed as worthless or in negative terms .,0.0,,
188,Desecrate,to willfully violate or destroy a sacred place .,0.5,,
189,Destitute,poor enough to need help from others .,0.0,,
190,Destitute,"completely wanting or lacking (usually ""destitute of"") .",0.0,,
191,Deter,turn away from by persuasion .,-1.75,,
192,Deter,try to prevent; show opposition to .,-2.0,,
193,Detrimental,"(sometimes followed by ""to"") causing harm or injury .",0.0,,
194,Devolve,pass on or delegate to another .,0.0,,
195,Devolve,"grow worse (usually ""devolve into"") .",0.0,,
196,Diabolical,to be extremely wicked like the devil .,0.25,,
197,Differentiate,be a distinctive feature,0.0,,
198,Differentiate,evolve so as to lead to a new species or develop in a way most suited to the environment .,0.0,,
199,Dilapidated,in terrible condition .,-0.25,,
200,Diligent,characterized by care and perseverance in carrying out tasks .,0.0,,
201,Discord,lack of agreement or harmony .,0.25,,
202,Discreet,careful to protect one's speech or actions in order to avoid offense or gain an advantage .,0.0,,
203,Discriminate,recognize or perceive the difference .,0.0,,
204,Disenfranchise,deprive of voting rights .,0.5,,
205,Disheartened,made less hopeful or enthusiastic .,0.75,,
206,Disparate,two things are fundamentally different .,0.25,,
207,Dispatch,,-2.0,,
208,Dispatch,,-5.0,,
209,Docile,easily handled or managed; willing to be taught or led or supervised or directed .,0.0,,
210,Dog,to pursue relentlessly; to hound .,0.25,,
211,Dupe,to trick or swindle .,-0.75,,
212,Dupe,a person who is easily tricked or swindled .,0.25,,
213,Eccentric,highly unconventional or usual (usually describes a person) .,0.5,,
214,Egotist,a conceited and self-centered person .,-0.25,,
215,Eke,.,0.0,,
216,Elaborate,marked by complexity and richness of detail .,-0.75,,
217,Elaborate,explain in more detail .,0.0,,
218,Elude,escape understanding .,0.5,,
219,Elusive,difficult to capture or difficult to remember .,0.25,,
220,Embellish,make more attractive by adding ornament,0.0,,
221,Embroiled,involved in argument or contention .,0.0,,
222,Empathetic,showing understanding and ready comprehension of other peoples' states and emotions .,0.25,,
223,Emulate,strive to equal or match,0.0,,
224,Endemic,native; originating where it is found .,0.0,,
225,Enmity,a state of deep-seated ill-will .,0.0,,
226,Entice,get someone to do something through (often false or exaggerated) promises .,0.25,,
227,Enumerate,determine the number or amount of .,0.0,,
228,Enumerate,specify individually,-0.25,,
229,Err,to make an error .,0.0,,
230,Errant,to be wandering; not sticking to a circumscribed path .,0.0,,
231,Erratic,unpredictable; strange and unconventional .,0.5,,
232,Euphoria,a feeling of great (usually exaggerated) elation .,0.0,,
233,Evasive,avoiding or escaping from difficulty or danger or commitment .,0.0,,
234,Evasive,deliberately vague or ambiguous .,0.25,,
235,Evenhanded,without partiality .,0.75,,
236,Exasperate,to irritate intensely .,0.25,,
237,Excruciating,extremely painful .,0.25,,
238,Exemplify,be characteristic of .,-1.0,,
239,Exemplify,clarify by giving an example of .,0.25,,
240,Exhort,to strongly urge on; encourage .,0.25,,
241,Extenuating,making less guilty or more forgivable .,0.0,,
242,Facetious,cleverly amusing in tone .,0.0,,
243,Fawn,try to gain favor by extreme flattery .,0.25,,
244,Ferret,to search for something persistently .,0.0,,
245,Fete,to celebrate a person .,0.0,,
246,Fickle,liable to sudden unpredictable change,0.25,,
247,Finagle,achieve something by means of trickery or devious methods .,0.0,,
248,Fledgling,young and inexperienced; describing any new participant in some activity .,-0.25,,
249,Fleece,to deceive .,0.0,,
250,Flounder,behave awkwardly; have difficulties .,-0.75,,
251,Flush,to be in abundance .,0.5,,
252,Foible,a behavioral attribute that is distinctive and peculiar to an individual .,0.0,,
253,Foolhardy,marked by defiant disregard for danger or consequences .,0.0,,
254,Forthright,characterized by directness in manner or speech; without subtlety or evasion .,0.5,,
255,Futile,producing no result or effect; unproductive of success .,0.25,,
256,Genial,agreeable,0.25,,
257,Genteel,marked by refinement in taste and manners .,0.5,,
258,Glean,collect information bit by bit .,0.25,,
259,Glib,(of a person) speaking with ease but without sincerity .,0.75,,
260,Goad,urge on with unpleasant comments .,0.25,,
261,Grovel,show submission or fear .,0.0,,
262,Guffaw,laugh boisterously .,0.25,,
263,Hamper,prevent the progress or free movement of .,0.5,,
264,Hamstrung,made ineffective or powerless .,0.0,,
265,Heyday,the pinnacle or top of a time period or career .,0.0,,
266,Hodgepodge,a confusing mixture or jumble .,0.25,,
267,Hound,to pursue relentlessly .,0.0,,
268,Humdrum,dull and lacking excitement .,0.0,,
269,Illicit,contrary to or forbidden by law .,0.0,,
270,Immaterial,not relevant .,0.0,,
271,Impeccable,without fault or error .,0.25,,
272,Impede,be a hindrance or obstacle to .,0.0,,
273,Impending,close in time; about to occur .,0.0,,
274,Impermeable,does not allow fluids to pass through .,0.0,,
275,Implicate,convey a meaning; imply .,0.25,,
276,Implicate,to indicate in wrongdoing,0.0,,
277,Imponderable,impossible to estimate or figure out .,0.5,,
278,Impregnable,immune to attack; incapable of being tampered with .,0.0,,
279,Inadvertent,happening by chance or unexpectedly or unintentionally .,0.5,,
280,Inarticulate,without or deprived of the use of speech or words .,0.0,,
281,Incense,make furious .,-0.25,,
282,Incessant,uninterrupted in time and indefinitely long continuing .,0.0,,
283,Inclement,(of weather) unpleasant,0.0,,
284,Inclement,used of persons or behavior; showing no mercy .,-0.25,,
285,Incumbent,necessary (for someone) as a duty or responsibility .,0.0,,
286,Indict,to formally charge or accuse of wrong-doing .,0.0,,
287,Indigenous,originating in a certain area .,0.0,,
288,Indignant,feeling anger over a perceived injustice .,0.0,,
289,Industrious,characterized by hard work and perseverance .,0.25,,
290,Inflammable,extremely controversial,0.0,,
291,Ingenuity,the power of creative imagination .,0.0,,
292,Inkling,a slight suggestion or vague understanding .,0.0,,
293,Insipid,dull and uninteresting .,-0.25,,
294,Insolvent,unable to pay one's bills; bankrupt .,-0.25,,
295,Intermittent,stopping and starting at irregular intervals .,0.25,,
296,Inundate,to flood or overwhelm .,0.0,,
297,Irascible,quickly aroused to anger .,0.0,,
298,Irk,irritate or vex .,0.0,,
299,Irresolute,uncertain how to act or proceed .,0.0,,
300,Jargon,a characteristic language of a particular group .,0.25,,
301,Jocular,characterized by jokes and good humor .,0.0,,
302,Junta,an aggressive takeover by a group (usually military) .,0.25,,
303,Laborious,characterized by effort to the point of exhaustion; especially physical effort .,0.0,,
304,Leery,openly distrustful and unwilling to confide .,0.25,,
305,Lethargic,lacking energy .,0.0,,
306,Lucid,(of language) transparently clear; easily understandable .,0.0,,
307,Macabre,suggesting the horror of death and decay; gruesome .,0.25,,
308,Malady,a disease or sickness .,0.0,,
309,Malevolent,wishing or appearing to wish evil to others; arising from intense ill will or hatred .,0.0,,
310,Malleable,capable of being shaped or bent or drawn out .,0.0,,
311,Malleable,easily influenced .,0.25,,
312,Malodorous,having an unpleasant smell .,0.0,,
313,Martial,suggesting war or military life .,0.0,,
314,Maxim,a short saying expressing a general truth .,0.25,,
315,Meander,to wander aimlessly .,0.0,,
316,Melancholy,a deep,0.0,,
317,Melee,a wild,-1.75,,
318,Mesmerize,to spellbind or enthrall .,0.25,,
319,Misanthrope,a hater of mankind .,0.5,,
320,Miscreant,a person who breaks the law .,0.0,,
321,Miser,a person who doesn't like to spend money (because they are greedy) .,0.25,,
322,Misogynist,a person who dislikes women in particular .,-0.25,,
323,Moment,significant and important value .,0.0,,
324,Moot,open to argument or debate; undecidable in a meaningless or irrelevant way .,0.0,,
325,Morose,ill-tempered and not inclined to talk; gloomy .,0.0,,
326,Morph,.,-0.25,,
327,Muted,softened,-0.25,,
328,Obdurate,stubbornly persistent in changing an opinion or action .,0.0,,
329,Obliging,showing a cheerful willingness to do favors for others .,0.0,,
330,Obstinate,resistant to guidance or discipline; stubbornly persistent .,0.0,,
331,Ornate,marked by elaborate rhetoric and elaborated with decorative details .,0.0,,
332,Paradoxical,seemingly contradictory but nonetheless possibly true .,0.5,,
333,Pastoral,relating to the countryside in a pleasant sense .,0.0,,
334,Patronize,treat condescendingly .,0.0,,
335,Paucity,a lack of something .,-0.25,,
336,Peevish,easily irritated or annoyed .,0.25,,
337,Perennial,lasting an indefinitely long time; eternal; everlasting .,0.5,,
338,Perpetuate,cause to continue .,0.0,,
339,Perquisite,a right reserved exclusively by a particular person or group (especially a hereditary or official right) .,-0.75,,
340,Pertinent,having precise or logical relevance to the matter at hand .,0.0,,
341,Perturb,disturb in mind or cause to be worried or alarmed .,0.0,,
342,Peruse,to read very carefully .,0.0,,
343,Pine,to yearn for .,0.0,,
344,Pinnacle,the highest point .,0.0,,
345,Piquant,having an agreeably pungent taste .,0.0,,
346,Pithy,concise and full of meaning .,0.0,,
347,Pittance,a small amount (of money) .,0.0,,
348,Placid,not easily irritated .,0.0,,
349,Plodding,(of movement) slow and laborious .,0.0,,
350,Ploy,a clever plan to turn a situation to one's advantage .,0.0,,
351,Powwow,an informal meeting or discussion .,0.5,,
352,Precarious,fraught with danger .,0.0,,
353,Precedent,an example that is used to justify similar occurrences at a later time .,0.25,,
354,Preempt,take the place of or have precedence over .,0.0,,
355,Preemptive,done before someone else can do it .,0.0,,
356,Presumption,an assumption that is taken for granted .,-0.25,,
357,Presumption,audacious (even arrogant) behavior that you have no right to .,0.25,,
358,Presumptuous,excessively forward .,0.25,,
359,Prevail,be widespread in a particular area at a particular time; be current: .,0.0,,
360,Prevail,prove superior .,0.5,,
361,Pristine,.,0.0,,
362,Pristine,.,0.25,,
363,Profuse,plentiful; pouring out in abundance .,0.0,,
364,Profusion,the property of being extremely abundant .,0.0,,
365,Proponent,a person who pleads for a cause or propounds an idea .,0.5,,
366,Provisional,under terms not final or fully worked out or agreed upon .,0.0,,
367,Pugnacious,eager to fight or argue; verbally combative .,-0.25,,
368,Qualm,uneasiness about the fitness of an action .,0.25,,
369,Quandary,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options .,0.25,,
370,Quip,a witty saying or remark .,0.25,,
371,Raffish,marked by a carefree unconventionality or disreputableness .,0.5,,
372,Raft,a large number of something .,0.0,,
373,Rakish,marked by a carefree unconventionality or disreputableness .,0.0,,
374,Rankle,gnaw into; make resentful or angry .,0.0,,
375,Rash,marked by defiant disregard for danger or consequences; imprudently incurring risk .,0.5,,
376,Redress,an act of making something right .,0.0,,
377,Relegate,assign to a lower position .,0.0,,
378,Remiss,to be negligent in one's duty .,0.25,,
379,Renege,fail to fulfill a promise or obligation .,0.0,,
380,Replete,completely stocked or furnished with something .,0.25,,
381,Reprobate,a person who is disapproved of .,1.0,,
382,Reservation,an unstated doubt that prevents you from accepting something wholeheartedly .,0.0,,
383,Resignation,the acceptance of something unpleasant that can't be avoided .,0.25,,
384,Resolve,reach a conclusion after a discussion or deliberation .,0.0,,
385,Respite,a pause from doing something (as work) .,0.0,,
386,Retiring,to be shy,0.0,,
387,Retract,pull inward or towards a center; formally reject or disavow a formerly held belief,0.0,,
388,Rile,cause annoyance in; disturb,0.25,,
389,Robust,sturdy and strong in form,0.0,,
390,Sanctimonious,making a show of being pious; holier-than-thou .,0.25,,
391,Sanguine,cheerful; optimistic .,0.5,,
392,Savvy,a perceptive understanding .,0.0,,
393,Savvy,get the meaning of something .,0.0,,
394,Savvy,well-informed or perceptive .,-0.75,,
395,Scintillating,describes someone who is brilliant and lively .,-0.25,,
396,Screed,an abusive rant (often tedious) .,0.0,,
397,Sentimental,effusively or insincerely emotional,-1.75,,
398,Serendipity,the instance in which an accidental,-1.75,,
399,Serene,calm and peaceful .,0.0,,
400,Slapdash,carelessly and hastily put together .,0.5,,
401,Smattering,a slight or superficial understanding of a subject; a small amount of something .,0.25,,
402,Smug,marked by excessive complacency or self-satisfaction .,0.25,,
403,Snide,expressive of contempt; derogatory or mocking in an indirect way .,0.0,,
404,Snub,refuse to acknowledge; reject outright and bluntly .,0.0,,
405,Sordid,involving ignoble actions and motives; arousing moral distaste and contempt; foul and run-down and repulsive .,-0.75,,
406,Spendthrift,one who spends money extravagantly .,0.0,,
407,Spurn,reject with contempt .,-0.25,,
408,Squander,spend thoughtlessly; waste time,0.0,,
409,Staid,characterized by dignity and propriety .,0.0,,
410,Start,to suddenly move in a particular direction .,-0.75,,
411,Steadfast,marked by firm determination or resolution; not shakable .,0.0,,
412,Stem,to hold back or limit the flow or growth of something .,-0.25,,
413,Stipend,a regular allowance (of money) .,0.0,,
414,Stolid,having or revealing little emotion or sensibility; not easily aroused or excited .,0.0,,
415,Stymie,hinder or prevent the progress or accomplishment of .,0.0,,
416,Summit,the peak or highest point .,0.0,,
417,Summit,a meeting of high-level leaders .,0.0,,
418,Surly,inclined to anger or bad feelings with overtones of menace .,0.75,,
419,Tact,consideration in dealing with others and avoiding giving offense .,1.0,,
420,Tarnish,make dirty or spotty,0.0,,
421,Tawdry,tastelessly showy; cheap and shoddy .,0.0,,
422,Taxing,use to the limit; exhaust .,0.0,,
423,Telling,significant and revealing of another factor .,0.25,,
424,Telltale,revealing .,0.0,,
425,Tender,offer up something formally .,0.0,,
426,Thoroughgoing,very thorough; complete .,0.0,,
427,Thrifty,spending money wisely .,0.5,,
428,Thwart,hinder or prevent (the efforts,0.0,,
429,Tirade,an angry speech .,0.0,,
430,Tout,advertize in strongly positive terms; show off .,-0.25,,
431,Transitory,lasting a very short time .,0.0,,
432,Travail,use of physical or mental energy; hard work; agony or anguish .,0.0,,
433,Tribulation,something,0.0,,
434,Tumult,a state of chaos,0.0,,
435,Uncanny,suggesting the operation of supernatural influences; surpassing the ordinary or normal .,0.0,,
436,Uncompromising,not making concessions .,0.5,,
437,Unconscionable,unreasonable; unscrupulous; excessive .,0.0,,
438,Underwrite,to support financially .,-0.25,,
439,Unnerve,to make nervous or upset .,0.25,,
440,Unprecedented,having never been done or known before; novel .,0.0,,
441,Unruly,(of persons) noisy and lacking in restraint or discipline; unwilling to submit to authority .,0.25,,
442,Unseemly,not in keeping with accepted standards of what is right or proper in polite society .,0.0,,
443,Urbane,showing a high degree of refinement and the assurance that comes from wide social experience .,0.0,,
444,Vacuous,devoid of intelligence,0.0,,
445,Vanquish,come out better in a competition,0.0,,
446,Variance,the quality of varying .,1.0,,
447,Veneer,covering consisting of a thin superficial layer that hides the underlying substance .,-0.25,,
448,Vicarious,felt or undergone as if one were taking part in the experience or feelings of another .,0.0,,
449,Vie,compete for something .,-0.75,,
450,Vindictive,to have a very strong desire for revenge .,0.0,,
451,Virago,an ill-tempered or violent woman .,0.5,,
452,Voracious,very hungry; approaching an activity with gusto .,0.0,,
453,Wanton,without check or limitation; showing no moral restraints to one's anger,0.5,,
454,Wax,to gradually increase in size or intensity .,0.5,,
455,Whimsical,determined by impulse or whim rather than by necessity or reason .,0.0,,
456,Zenith,the highest point; culmination .,0.0,,
457,Aberrant,markedly different from an accepted norm .,0.0,,
458,Aberration,a deviation from what is normal or expected .,0.0,,
459,Abstain,choose not to consume or take part in (particularly something enjoyable) .,0.0,,
460,Abstruse,difficult to understand; incomprehensible .,0.0,,
461,Accolade,an award or praise granted as a special honor .,0.25,,
462,Acerbic,harsh in tone .,0.25,,
